PressureSensor 1,PressureSensor 2,PressureSensor 3,PressureSensor 4,PressureSensor 5,PressureSensor 6,PressureSensor 7,PressureSensor 8,PressureSensor 9,PressureSensor 10,PressureSensor 11,PressureSensor 12,PressureSensor 13,PressureSensor 14,PressureSensor 15,PressureSensor 16,PressureSensor 17,PressureSensor 18,PressureSensor 19,PressureSensor 20,PressureSensor 21,PressureSensor 22,PressureSensor 23,PressureSensor 24,PressureSensor 25,PressureSensor 26,PressureSensor 27,PressureSensor 28,PressureSensor 29,PressureSensor 30,PressureSensor 31,PressureSensor 32,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,copX,copY,sumP,Tiempo (mm:ss.mmm)
21,78,26,63,816,1077,804,385,2684,1783,26,21,661,1178,1207,1931,440,1332,116,20,273,28,93,79,114,359,1374,3247,1866,1451,120,932,843,1733,8055,89,-222,-41,69.72473074578338,294.69144482828693,24605,00:00.369
21,81,27,64,813,1073,805,383,2692,1784,27,22,664,1181,1221,1932,440,1325,125,20,277,28,101,78,107,363,1395,3257,1867,1447,106,941,844,1747,8094,74,-191,-43,69.74654396562208,294.6644504803989,24667,00:00.384
21,75,26,63,809,1071,793,376,2696,1780,27,22,664,1183,1223,1926,434,1328,162,20,282,29,114,77,115,372,1397,3255,1874,1448,101,963,863,1765,8117,60,-138,-39,69.88028795599773,294.7988958990536,24726,00:00.400
21,71,26,61,803,1067,828,376,2686,1778,27,22,666,1187,1206,1912,435,1327,162,20,284,29,121,80,117,384,1421,3268,1871,1454,115,979,830,1717,8064,58,-145,-39,70.07918077729398,295.2753789711337,24804,00:00.415
21,72,26,61,805,1067,847,376,2684,1764,26,22,667,1186,1208,1907,438,1326,170,20,286,29,131,80,117,391,1436,3259,1869,1454,94,988,830,1717,8064,58,-145,-39,70.22249969790954,295.0422523865147,24827,00:00.430
21,73,26,65,803,1064,855,373,2679,1756,26,21,671,1187,1206,1893,438,1326,170,20,290,29,126,81,122,399,1447,3260,1870,1458,101,1004,830,1713,8102,87,-207,-43,70.3085277554304,295.3833065164924,24860,00:00.446
21,75,27,65,799,1060,880,375,2674,1751,26,21,672,1191,1188,1887,440,1319,178,20,291,30,128,82,119,411,1457,3260,1870,1456,122,1017,831,1733,8098,76,-186,-39,70.40663134232499,295.62616409762364,24912,00:00.461
21,77,26,64,801,1064,893,375,2671,1755,26,22,675,1194,1176,1877,441,1311,181,20,291,29,130,80,126,421,1475,3273,1870,1457,136,1029,840,1719,8090,66,-179,-41,70.47256573418177,296.05542882298795,24987,00:00.476
21,77,26,65,800,1064,887,376,2674,1751,27,22,675,1193,1183,1866,439,1308,175,20,296,29,132,84,129,429,1488,3266,1864,1454,150,1041,847,1721,8077,58,-158,-36,70.49318299948023,296.3174403262565,25011,00:00.492
21,78,26,65,803,1063,868,377,2675,1748,26,22,677,1193,1187,1864,437,1306,175,20,298,29,137,83,140,428,1501,3279,1860,1456,159,1052,847,1721,8077,58,-158,-36,70.50471001476869,296.76358120783937,25053,00:00.507
21,76,25,66,805,1063,885,378,2677,1750,26,22,681,1195,1192,1865,438,1305,180,20,300,29,141,81,132,434,1511,3272,1857,1457,131,1053,835,1709,8108,71,-186,-37,70.54334210946226,296.373942875379,25068,00:00.523
21,77,26,67,804,1064,885,379,2678,1745,27,21,683,1195,1197,1853,437,1302,181,20,302,29,139,84,132,442,1523,3278,1857,1459,134,1065,822,1732,8126,66,-180,-38,70.58679200191189,296.6031028439417,25106,00:00.538
21,78,26,67,799,1062,887,380,2679,1741,26,22,689,1197,1216,1849,436,1300,180,20,301,30,136,84,135,451,1544,3278,1859,1458,105,1073,839,1743,8039,64,-164,-42,70.62125432766922,296.6860798280871,25129,00:00.553
21,80,26,66,801,1063,894,379,2675,1740,26,22,692,1199,1224,1849,434,1299,176,20,307,31,136,83,144,453,1552,3280,1855,1452,119,1081,808,1714,8096,56,-155,-44,70.63670121927002,296.93184796854524,25179,00:00.569
21,82,26,65,799,1062,906,380,2679,1739,26,21,690,1201,1234,1841,435,1294,178,20,311,31,127,82,142,459,1554,3290,1849,1455,113,1090,837,1729,8114,58,-156,-44,70.62504959923815,296.9878779461948,25202,00:00.584
21,82,26,66,798,1063,912,381,2682,1740,26,22,692,1203,1226,1841,436,1291,172,20,315,31,129,83,143,464,1570,3283,1847,1452,127,1096,837,1729,8114,58,-156,-44,70.64694928684628,297.1496038034865,25240,00:00.600
21,81,26,66,800,1062,918,380,2687,1739,26,21,695,1204,1224,1839,435,1291,180,20,316,31,128,82,136,465,1573,3277,1847,1454,133,1097,849,1742,8108,71,-223,-47,70.64781816741902,297.06868218896017,25254,00:00.615
21,81,26,66,799,1063,915,380,2680,1737,26,22,697,1205,1236,1841,434,1289,182,20,319,32,130,80,142,466,1579,3286,1844,1452,118,1099,837,1725,8101,58,-182,-32,70.67453595599002,297.1292397197926,25267,00:00.630
21,80,26,66,799,1061,916,379,2680,1741,26,22,695,1205,1227,1841,431,1295,174,20,318,32,131,81,145,468,1590,3289,1844,1454,146,1101,841,1737,8071,63,-183,-32,70.7023593107809,297.5052956054379,25304,00:00.646
21,80,26,67,800,1061,921,379,2681,1737,26,22,694,1205,1224,1839,432,1297,172,20,321,33,133,80,149,470,1592,3287,1844,1453,159,1104,819,1724,8071,62,-171,-32,70.73990287812389,297.5956808401437,25329,00:00.661
20,80,26,67,801,1063,922,379,2682,1733,26,22,696,1206,1218,1839,432,1295,169,20,322,32,133,81,150,472,1597,3287,1839,1452,158,1105,819,1724,8071,62,-171,-32,70.74954588532617,297.66857526457113,25324,00:00.676
21,80,26,68,800,1062,926,378,2673,1734,26,22,698,1203,1218,1839,432,1293,172,20,320,33,134,81,152,475,1597,3283,1837,1450,155,1107,836,1730,8043,76,-177,-35,70.78011060635987,297.6462176575153,25315,00:00.692
20,79,26,67,802,1063,925,379,2675,1731,26,22,699,1206,1223,1835,433,1295,173,20,321,33,131,81,151,475,1599,3291,1836,1451,151,1105,842,1729,8088,72,-179,-38,70.78856025904281,297.6536882009161,25324,00:00.707
21,78,26,68,804,1065,931,380,2681,1733,26,22,699,1204,1227,1839,432,1295,169,20,321,33,130,81,152,475,1603,3287,1834,1448,150,1108,836,1725,8066,67,-177,-32,70.76191697577144,297.5711072527819,25342,00:00.723
21,78,26,68,805,1065,936,379,2684,1736,26,22,699,1204,1222,1841,430,1292,176,20,321,32,127,80,151,476,1599,3278,1836,1447,157,1107,850,1748,8098,53,-138,-30,70.73059468844954,297.5113649816503,25341,00:00.738
20,79,26,68,804,1067,945,379,2684,1737,27,22,702,1203,1224,1839,433,1294,187,20,324,32,127,81,149,475,1600,3281,1831,1444,158,1107,871,1737,8106,66,-172,-33,70.76891087547794,297.2769718948323,25369,00:00.753
21,77,26,69,806,1067,946,376,2686,1739,26,22,703,1207,1231,1844,430,1296,189,20,325,32,126,83,148,472,1599,3283,1831,1446,150,1109,871,1737,8106,66,-172,-33,70.75398857593066,297.20541658459723,25385,00:00.769
