Zancada,Método,Fase,Inicio_fase,Fin_fase,Duración_fase,Inicio_zancada_CSV,Duración_zancada_CSV,Inicio_zancada_video,Duración_zancada_video
7,CSV,Heel strike - Loading response,00:10.352,00:10.486,00:00.133,00:10.353,00:01.339,00:10.391,00:01.403
7,CSV,Mid-stance,00:10.486,00:10.754,00:00.267,00:10.353,00:01.339,00:10.391,00:01.403
7,CSV,Terminal stance,00:10.754,00:11.022,00:00.267,00:10.353,00:01.339,00:10.391,00:01.403
7,CSV,Pre-swing,00:11.022,00:11.156,00:00.133,00:10.353,00:01.339,00:10.391,00:01.403
7,CSV,Toe-off,00:11.156,00:11.330,00:00.174,00:10.353,00:01.339,00:10.391,00:01.403
7,CSV,Mid-swing,00:11.330,00:11.517,00:00.187,00:10.353,00:01.339,00:10.391,00:01.403
7,CSV,Terminal swing,00:11.517,00:11.692,00:00.174,00:10.353,00:01.339,00:10.391,00:01.403
7,Video,Heel strike - Loading response,00:10.391,00:10.531,00:00.140,00:10.353,00:01.339,00:10.391,00:01.403
7,Video,Mid-stance,00:10.531,00:10.811,00:00.280,00:10.353,00:01.339,00:10.391,00:01.403
7,Video,Terminal stance,00:10.811,00:11.092,00:00.280,00:10.353,00:01.339,00:10.391,00:01.403
7,Video,Pre-swing,00:11.092,00:11.232,00:00.140,00:10.353,00:01.339,00:10.391,00:01.403
7,Video,Toe-off,00:11.232,00:11.415,00:00.182,00:10.353,00:01.339,00:10.391,00:01.403
7,Video,Mid-swing,00:11.415,00:11.611,00:00.196,00:10.353,00:01.339,00:10.391,00:01.403
7,Video,Terminal swing,00:11.611,00:11.794,00:00.182,00:10.353,00:01.339,00:10.391,00:01.403
10,CSV,Heel strike - Loading response,00:14.707,00:14.831,00:00.124,00:14.707,00:01.246,00:14.723,00:01.366
10,CSV,Mid-stance,00:14.831,00:15.080,00:00.249,00:14.707,00:01.246,00:14.723,00:01.366
10,CSV,Terminal stance,00:15.080,00:15.330,00:00.249,00:14.707,00:01.246,00:14.723,00:01.366
10,CSV,Pre-swing,00:15.330,00:15.454,00:00.124,00:14.707,00:01.246,00:14.723,00:01.366
10,CSV,Toe-off,00:15.454,00:15.616,00:00.161,00:14.707,00:01.246,00:14.723,00:01.366
10,CSV,Mid-swing,00:15.616,00:15.791,00:00.174,00:14.707,00:01.246,00:14.723,00:01.366
10,CSV,Terminal swing,00:15.791,00:15.952,00:00.161,00:14.707,00:01.246,00:14.723,00:01.366
10,Video,Heel strike - Loading response,00:14.723,00:14.859,00:00.136,00:14.707,00:01.246,00:14.723,00:01.366
10,Video,Mid-stance,00:14.859,00:15.132,00:00.273,00:14.707,00:01.246,00:14.723,00:01.366
10,Video,Terminal stance,00:15.132,00:15.406,00:00.273,00:14.707,00:01.246,00:14.723,00:01.366
10,Video,Pre-swing,00:15.406,00:15.542,00:00.136,00:14.707,00:01.246,00:14.723,00:01.366
10,Video,Toe-off,00:15.542,00:15.720,00:00.177,00:14.707,00:01.246,00:14.723,00:01.366
10,Video,Mid-swing,00:15.720,00:15.911,00:00.191,00:14.707,00:01.246,00:14.723,00:01.366
10,Video,Terminal swing,00:15.911,00:16.088,00:00.177,00:14.707,00:01.246,00:14.723,00:01.366
11,CSV,Heel strike - Loading response,00:15.952,00:16.082,00:00.129,00:15.953,00:01.293,00:16.089,00:01.632
11,CSV,Mid-stance,00:16.082,00:16.340,00:00.258,00:15.953,00:01.293,00:16.089,00:01.632
11,CSV,Terminal stance,00:16.340,00:16.599,00:00.258,00:15.953,00:01.293,00:16.089,00:01.632
11,CSV,Pre-swing,00:16.599,00:16.728,00:00.129,00:15.953,00:01.293,00:16.089,00:01.632
11,CSV,Toe-off,00:16.728,00:16.896,00:00.168,00:15.953,00:01.293,00:16.089,00:01.632
11,CSV,Mid-swing,00:16.896,00:17.077,00:00.181,00:15.953,00:01.293,00:16.089,00:01.632
11,CSV,Terminal swing,00:17.077,00:17.245,00:00.168,00:15.953,00:01.293,00:16.089,00:01.632
11,Video,Heel strike - Loading response,00:16.088,00:16.252,00:00.163,00:15.953,00:01.293,00:16.089,00:01.632
11,Video,Mid-stance,00:16.252,00:16.578,00:00.326,00:15.953,00:01.293,00:16.089,00:01.632
11,Video,Terminal stance,00:16.578,00:16.905,00:00.326,00:15.953,00:01.293,00:16.089,00:01.632
11,Video,Pre-swing,00:16.905,00:17.068,00:00.163,00:15.953,00:01.293,00:16.089,00:01.632
11,Video,Toe-off,00:17.068,00:17.280,00:00.212,00:15.953,00:01.293,00:16.089,00:01.632
11,Video,Mid-swing,00:17.280,00:17.508,00:00.228,00:15.953,00:01.293,00:16.089,00:01.632
11,Video,Terminal swing,00:17.508,00:17.721,00:00.212,00:15.953,00:01.293,00:16.089,00:01.632
12,CSV,Heel strike - Loading response,00:17.245,00:17.390,00:00.144,00:17.246,00:01.446,00:17.721,00:01.033
12,CSV,Mid-stance,00:17.390,00:17.679,00:00.289,00:17.246,00:01.446,00:17.721,00:01.033
12,CSV,Terminal stance,00:17.679,00:17.969,00:00.289,00:17.246,00:01.446,00:17.721,00:01.033
12,CSV,Pre-swing,00:17.969,00:18.113,00:00.144,00:17.246,00:01.446,00:17.721,00:01.033
12,CSV,Toe-off,00:18.113,00:18.301,00:00.187,00:17.246,00:01.446,00:17.721,00:01.033
12,CSV,Mid-swing,00:18.301,00:18.504,00:00.202,00:17.246,00:01.446,00:17.721,00:01.033
12,CSV,Terminal swing,00:18.504,00:18.692,00:00.187,00:17.246,00:01.446,00:17.721,00:01.033
12,Video,Heel strike - Loading response,00:17.721,00:17.824,00:00.103,00:17.246,00:01.446,00:17.721,00:01.033
12,Video,Mid-stance,00:17.824,00:18.030,00:00.206,00:17.246,00:01.446,00:17.721,00:01.033
12,Video,Terminal stance,00:18.030,00:18.237,00:00.206,00:17.246,00:01.446,00:17.721,00:01.033
12,Video,Pre-swing,00:18.237,00:18.340,00:00.103,00:17.246,00:01.446,00:17.721,00:01.033
12,Video,Toe-off,00:18.340,00:18.475,00:00.134,00:17.246,00:01.446,00:17.721,00:01.033
12,Video,Mid-swing,00:18.475,00:18.619,00:00.144,00:17.246,00:01.446,00:17.721,00:01.033
12,Video,Terminal swing,00:18.619,00:18.754,00:00.134,00:17.246,00:01.446,00:17.721,00:01.033
15,CSV,Heel strike - Loading response,00:21.507,00:21.643,00:00.136,00:21.507,00:01.369,00:21.686,00:01.399
15,CSV,Mid-stance,00:21.643,00:21.917,00:00.273,00:21.507,00:01.369,00:21.686,00:01.399
15,CSV,Terminal stance,00:21.917,00:22.191,00:00.273,00:21.507,00:01.369,00:21.686,00:01.399
15,CSV,Pre-swing,00:22.191,00:22.328,00:00.136,00:21.507,00:01.369,00:21.686,00:01.399
15,CSV,Toe-off,00:22.328,00:22.506,00:00.177,00:21.507,00:01.369,00:21.686,00:01.399
15,CSV,Mid-swing,00:22.506,00:22.698,00:00.191,00:21.507,00:01.369,00:21.686,00:01.399
15,CSV,Terminal swing,00:22.698,00:22.876,00:00.177,00:21.507,00:01.369,00:21.686,00:01.399
15,Video,Heel strike - Loading response,00:21.686,00:21.825,00:00.139,00:21.507,00:01.369,00:21.686,00:01.399
15,Video,Mid-stance,00:21.825,00:22.105,00:00.279,00:21.507,00:01.369,00:21.686,00:01.399
15,Video,Terminal stance,00:22.105,00:22.385,00:00.279,00:21.507,00:01.369,00:21.686,00:01.399
15,Video,Pre-swing,00:22.385,00:22.525,00:00.139,00:21.507,00:01.369,00:21.686,00:01.399
15,Video,Toe-off,00:22.525,00:22.707,00:00.181,00:21.507,00:01.369,00:21.686,00:01.399
15,Video,Mid-swing,00:22.707,00:22.903,00:00.195,00:21.507,00:01.369,00:21.686,00:01.399
15,Video,Terminal swing,00:22.903,00:23.085,00:00.181,00:21.507,00:01.369,00:21.686,00:01.399
16,CSV,Heel strike - Loading response,00:22.876,00:23.014,00:00.138,00:22.876,00:01.385,00:23.085,00:01.433
16,CSV,Mid-stance,00:23.014,00:23.291,00:00.277,00:22.876,00:01.385,00:23.085,00:01.433
16,CSV,Terminal stance,00:23.291,00:23.568,00:00.277,00:22.876,00:01.385,00:23.085,00:01.433
16,CSV,Pre-swing,00:23.568,00:23.707,00:00.138,00:22.876,00:01.385,00:23.085,00:01.433
16,CSV,Toe-off,00:23.707,00:23.887,00:00.180,00:22.876,00:01.385,00:23.085,00:01.433
16,CSV,Mid-swing,00:23.887,00:24.080,00:00.193,00:22.876,00:01.385,00:23.085,00:01.433
16,CSV,Terminal swing,00:24.080,00:24.260,00:00.180,00:22.876,00:01.385,00:23.085,00:01.433
16,Video,Heel strike - Loading response,00:23.085,00:23.228,00:00.143,00:22.876,00:01.385,00:23.085,00:01.433
16,Video,Mid-stance,00:23.228,00:23.514,00:00.286,00:22.876,00:01.385,00:23.085,00:01.433
16,Video,Terminal stance,00:23.514,00:23.801,00:00.286,00:22.876,00:01.385,00:23.085,00:01.433
16,Video,Pre-swing,00:23.801,00:23.944,00:00.143,00:22.876,00:01.385,00:23.085,00:01.433
16,Video,Toe-off,00:23.944,00:24.131,00:00.186,00:22.876,00:01.385,00:23.085,00:01.433
16,Video,Mid-swing,00:24.131,00:24.331,00:00.200,00:22.876,00:01.385,00:23.085,00:01.433
16,Video,Terminal swing,00:24.331,00:24.518,00:00.186,00:22.876,00:01.385,00:23.085,00:01.433
19,CSV,Heel strike - Loading response,00:27.184,00:27.319,00:00.135,00:27.184,00:01.354,00:27.450,00:01.466
19,CSV,Mid-stance,00:27.319,00:27.590,00:00.270,00:27.184,00:01.354,00:27.450,00:01.466
19,CSV,Terminal stance,00:27.590,00:27.861,00:00.270,00:27.184,00:01.354,00:27.450,00:01.466
19,CSV,Pre-swing,00:27.861,00:27.996,00:00.135,00:27.184,00:01.354,00:27.450,00:01.466
19,CSV,Toe-off,00:27.996,00:28.172,00:00.176,00:27.184,00:01.354,00:27.450,00:01.466
19,CSV,Mid-swing,00:28.172,00:28.361,00:00.189,00:27.184,00:01.354,00:27.450,00:01.466
19,CSV,Terminal swing,00:28.361,00:28.538,00:00.176,00:27.184,00:01.354,00:27.450,00:01.466
19,Video,Heel strike - Loading response,00:27.449,00:27.596,00:00.146,00:27.184,00:01.354,00:27.450,00:01.466
19,Video,Mid-stance,00:27.596,00:27.889,00:00.293,00:27.184,00:01.354,00:27.450,00:01.466
19,Video,Terminal stance,00:27.889,00:28.182,00:00.293,00:27.184,00:01.354,00:27.450,00:01.466
19,Video,Pre-swing,00:28.182,00:28.329,00:00.146,00:27.184,00:01.354,00:27.450,00:01.466
19,Video,Toe-off,00:28.329,00:28.520,00:00.190,00:27.184,00:01.354,00:27.450,00:01.466
19,Video,Mid-swing,00:28.520,00:28.725,00:00.205,00:27.184,00:01.354,00:27.450,00:01.466
19,Video,Terminal swing,00:28.725,00:28.916,00:00.190,00:27.184,00:01.354,00:27.450,00:01.466
20,CSV,Heel strike - Loading response,00:28.538,00:28.667,00:00.129,00:28.538,00:01.292,00:28.916,00:01.266
20,CSV,Mid-stance,00:28.667,00:28.925,00:00.258,00:28.538,00:01.292,00:28.916,00:01.266
20,CSV,Terminal stance,00:28.925,00:29.184,00:00.258,00:28.538,00:01.292,00:28.916,00:01.266
20,CSV,Pre-swing,00:29.184,00:29.313,00:00.129,00:28.538,00:01.292,00:28.916,00:01.266
20,CSV,Toe-off,00:29.313,00:29.481,00:00.167,00:28.538,00:01.292,00:28.916,00:01.266
20,CSV,Mid-swing,00:29.481,00:29.662,00:00.180,00:28.538,00:01.292,00:28.916,00:01.266
20,CSV,Terminal swing,00:29.662,00:29.829,00:00.167,00:28.538,00:01.292,00:28.916,00:01.266
20,Video,Heel strike - Loading response,00:28.916,00:29.042,00:00.126,00:28.538,00:01.292,00:28.916,00:01.266
20,Video,Mid-stance,00:29.042,00:29.295,00:00.253,00:28.538,00:01.292,00:28.916,00:01.266
20,Video,Terminal stance,00:29.295,00:29.548,00:00.253,00:28.538,00:01.292,00:28.916,00:01.266
20,Video,Pre-swing,00:29.548,00:29.675,00:00.126,00:28.538,00:01.292,00:28.916,00:01.266
20,Video,Toe-off,00:29.675,00:29.840,00:00.164,00:28.538,00:01.292,00:28.916,00:01.266
20,Video,Mid-swing,00:29.840,00:30.017,00:00.177,00:28.538,00:01.292,00:28.916,00:01.266
20,Video,Terminal swing,00:30.017,00:30.181,00:00.164,00:28.538,00:01.292,00:28.916,00:01.266
21,CSV,Heel strike - Loading response,00:29.829,00:29.960,00:00.130,00:29.830,00:01.308,00:30.182,00:01.333
21,CSV,Mid-stance,00:29.960,00:30.222,00:00.261,00:29.830,00:01.308,00:30.182,00:01.333
21,CSV,Terminal stance,00:30.222,00:30.484,00:00.261,00:29.830,00:01.308,00:30.182,00:01.333
21,CSV,Pre-swing,00:30.484,00:30.614,00:00.130,00:29.830,00:01.308,00:30.182,00:01.333
21,CSV,Toe-off,00:30.614,00:30.784,00:00.170,00:29.830,00:01.308,00:30.182,00:01.333
21,CSV,Mid-swing,00:30.784,00:30.967,00:00.183,00:29.830,00:01.308,00:30.182,00:01.333
21,CSV,Terminal swing,00:30.967,00:31.138,00:00.170,00:29.830,00:01.308,00:30.182,00:01.333
21,Video,Heel strike - Loading response,00:30.181,00:30.315,00:00.133,00:29.830,00:01.308,00:30.182,00:01.333
21,Video,Mid-stance,00:30.315,00:30.581,00:00.266,00:29.830,00:01.308,00:30.182,00:01.333
21,Video,Terminal stance,00:30.581,00:30.848,00:00.266,00:29.830,00:01.308,00:30.182,00:01.333
21,Video,Pre-swing,00:30.848,00:30.981,00:00.133,00:29.830,00:01.308,00:30.182,00:01.333
21,Video,Toe-off,00:30.981,00:31.155,00:00.173,00:29.830,00:01.308,00:30.182,00:01.333
21,Video,Mid-swing,00:31.155,00:31.341,00:00.186,00:29.830,00:01.308,00:30.182,00:01.333
21,Video,Terminal swing,00:31.341,00:31.515,00:00.173,00:29.830,00:01.308,00:30.182,00:01.333
