Zancada,Método,Fase,Inicio_fase,Fin_fase,Duración_fase,Inicio_zancada_CSV,Duración_zancada_CSV,Inicio_zancada_video,Duración_zancada_video
6,Video,Mid-stance,00:09.952469,00:10.203609,00:00.251139,00:09.875000,00:01.328125,00:09.826900,00:01.255700
6,Video,Terminal stance,00:10.203609,00:10.454750,00:00.251139,00:09.875000,00:01.328125,00:09.826900,00:01.255700
6,Video,Pre-swing,00:10.454750,00:10.580320,00:00.125569,00:09.875000,00:01.328125,00:09.826900,00:01.255700
6,Video,Toe-off,00:10.580320,00:10.743560,00:00.163241,00:09.875000,00:01.328125,00:09.826900,00:01.255700
6,Video,Mid-swing,00:10.743560,00:10.919359,00:00.175798,00:09.875000,00:01.328125,00:09.826900,00:01.255700
6,Video,Terminal swing,00:10.919359,00:11.082599,00:00.163241,00:09.875000,00:01.328125,00:09.826900,00:01.255700
9,CSV,Heel strike - Loading response,00:14.156250,00:14.295313,00:00.139063,00:14.156250,00:01.390625,00:13.859500,00:01.570700
9,CSV,Mid-stance,00:14.295313,00:14.573437,00:00.278125,00:14.156250,00:01.390625,00:13.859500,00:01.570700
9,CSV,Terminal stance,00:14.573437,00:14.851563,00:00.278125,00:14.156250,00:01.390625,00:13.859500,00:01.570700
9,CSV,Pre-swing,00:14.851563,00:14.990626,00:00.139063,00:14.156250,00:01.390625,00:13.859500,00:01.570700
9,CSV,Toe-off,00:14.990626,00:15.171407,00:00.180781,00:14.156250,00:01.390625,00:13.859500,00:01.570700
9,CSV,Mid-swing,00:15.171407,00:15.366094,00:00.194688,00:14.156250,00:01.390625,00:13.859500,00:01.570700
9,CSV,Terminal swing,00:15.366094,00:15.546875,00:00.180781,00:14.156250,00:01.390625,00:13.859500,00:01.570700
9,Video,Heel strike - Loading response,00:13.859500,00:14.016569,00:00.157070,00:14.156250,00:01.390625,00:13.859500,00:01.570700
9,Video,Mid-stance,00:14.016569,00:14.330709,00:00.314140,00:14.156250,00:01.390625,00:13.859500,00:01.570700
9,Video,Terminal stance,00:14.330709,00:14.644849,00:00.314140,00:14.156250,00:01.390625,00:13.859500,00:01.570700
9,Video,Pre-swing,00:14.644849,00:14.801919,00:00.157070,00:14.156250,00:01.390625,00:13.859500,00:01.570700
9,Video,Toe-off,00:14.801919,00:15.006111,00:00.204191,00:14.156250,00:01.390625,00:13.859500,00:01.570700
9,Video,Mid-swing,00:15.006111,00:15.226008,00:00.219898,00:14.156250,00:01.390625,00:13.859500,00:01.570700
9,Video,Terminal swing,00:15.226008,00:15.430199,00:00.204191,00:14.156250,00:01.390625,00:13.859500,00:01.570700
10,CSV,Heel strike - Loading response,00:15.546875,00:15.679688,00:00.132813,00:15.546875,00:01.328125,00:15.430200,00:01.028300
10,CSV,Mid-stance,00:15.679688,00:15.945313,00:00.265625,00:15.546875,00:01.328125,00:15.430200,00:01.028300
10,CSV,Terminal stance,00:15.945313,00:16.210937,00:00.265625,00:15.546875,00:01.328125,00:15.430200,00:01.028300
10,CSV,Pre-swing,00:16.210937,00:16.343751,00:00.132813,00:15.546875,00:01.328125,00:15.430200,00:01.028300
10,CSV,Toe-off,00:16.343751,00:16.516407,00:00.172656,00:15.546875,00:01.328125,00:15.430200,00:01.028300
10,CSV,Mid-swing,00:16.516407,00:16.702345,00:00.185938,00:15.546875,00:01.328125,00:15.430200,00:01.028300
10,CSV,Terminal swing,00:16.702345,00:16.875001,00:00.172656,00:15.546875,00:01.328125,00:15.430200,00:01.028300
10,Video,Heel strike - Loading response,00:15.430199,00:15.533030,00:00.102830,00:15.546875,00:01.328125,00:15.430200,00:01.028300
10,Video,Mid-stance,00:15.533030,00:15.738690,00:00.205660,00:15.546875,00:01.328125,00:15.430200,00:01.028300
10,Video,Terminal stance,00:15.738690,00:15.944350,00:00.205660,00:15.546875,00:01.328125,00:15.430200,00:01.028300
10,Video,Pre-swing,00:15.944350,00:16.047180,00:00.102830,00:15.546875,00:01.328125,00:15.430200,00:01.028300
10,Video,Toe-off,00:16.047180,00:16.180859,00:00.133679,00:15.546875,00:01.328125,00:15.430200,00:01.028300
