Fase,Desviación Típica por Zancada (dominancia vs CSV),Desviación Típica por Zancada (dominancia vs Video),Desviación Típica Total (dominancia vs CSV),Desviación Típica Total (dominancia vs Video)
LR,0.032196431586482485,0.03401269013625222,0.032196431586482485,0.03401269013625222
MSt,0.1055363223918666,0.11035316540399483,0.1055363223918666,0.11035316540399483
TSt,0.09260454710218068,0.08721229306726123,0.09260454710218068,0.08721229306726123
PSw,0.006298130200477015,0.010311261036125728,0.006298130200477015,0.010311261036125728
Sw,0.04280246288827244,0.045999197198823914,0.04280246288827244,0.045999197198823914
