Método,Fase,Duración media (ms)
CSV,LR,138.55
CSV,MSt,277.59
CSV,TSt,277.59
CSV,PSw,138.55
CSV,Sw,554.0
CSV,Zancadas válidas,29

Video,LR,138.34
Video,MSt,277.21
Video,TSt,277.21
Video,PSw,138.34
Video,Sw,553.97
Video,Zancadas válidas,29

