Fase,Media de Diferencia por Zancada (dominancia vs CSV),Media de Diferencia por Zancada (dominancia vs Video)
LR,-0.030277210526315778,-0.036627894736842095
MSt,0.006282999999999998,-0.006418947368421043
TSt,0.225983,0.21328105263157895
PSw,-0.13084036842105262,-0.13719105263157894
Sw,0.23966547368421048,0.21426210526315786
