Zancada,Metodo,Fase,Inicio_fase,Fin_fase,Duración_fase
66,CSV,Terminal stance,01:08.089,01:08.314,00:00.224
66,CSV,Pre-swing,01:08.314,01:08.426,00:00.112
66,CSV,Toe-off,01:08.426,01:08.572,00:00.145
66,CSV,Mid-swing,01:08.572,01:08.730,00:00.157
66,CSV,Terminal swing,01:08.730,01:08.876,00:00.145
66,Video,Heel strike - Loading response,01:07.564,01:07.678,00:00.113
66,Video,Mid-stance,01:07.678,01:07.904,00:00.226
66,Video,Terminal stance,01:07.904,01:08.131,00:00.226
66,Video,Pre-swing,01:08.131,01:08.244,00:00.113
66,Video,Toe-off,01:08.244,01:08.392,00:00.147
66,Video,Mid-swing,01:08.392,01:08.550,00:00.158
66,Video,Terminal swing,01:08.550,01:08.697,00:00.147
