36,441,1858,32,1838,1968,2657,1063,1694,1930,20,32,20,22,103,21,2017,1416,1702,48,1873,1787,618,2630,19,18,19,31,35,18,20,18,1399,1909,9910,1155,-7321,1609,94.6725888324873,135.5456083679434,26004
34,495,1847,31,1850,1957,2709,1079,1500,1825,20,33,20,23,78,20,2187,1473,1718,2809,1894,1814,561,2635,18,18,19,20,22,18,20,18,1461,1960,9711,895,-8627,1363,96.40356335824788,126.30876064661916,28765
36,535,1852,514,1844,1893,2716,1073,1271,1733,20,22,20,20,67,20,2386,1528,1720,2849,1905,1858,524,2653,19,18,19,20,19,18,20,18,1859,2238,8173,10,-9104,1287,97.32983567271482,123.0769428277987,29210
36,583,1834,562,1853,1829,2656,1057,1065,1601,20,21,20,22,40,20,2566,1611,1730,2810,1885,1907,460,2665,19,18,19,20,18,18,20,18,1994,2772,9657,-664,-9440,1532,98.6647243388615,121.17958487053065,29003
35,632,1768,566,1880,1732,2630,998,932,1426,20,21,20,21,51,20,2678,1741,1782,2814,1856,1983,439,2729,19,18,19,20,18,19,21,18,2186,2983,11181,-1565,-11965,2577,100.26768305330845,119.97967226716447,28926
25,708,1718,578,1822,1610,2397,864,781,1116,20,21,20,23,32,20,2803,1933,1820,2791,1876,2080,490,2855,19,18,19,20,18,19,21,19,2398,4971,12174,-4203,-15640,4225,102.96709973385629,118.11969463510296,28556
23,723,1456,540,1699,1461,2236,575,712,909,20,180,20,22,28,20,2820,2078,2014,2650,1978,2139,578,3134,19,19,20,20,19,19,22,21,2398,4971,12174,-4203,-15640,4225,105.81291261446724,118.5159544260666,28174
22,720,1086,30,1447,1382,2134,347,479,768,21,294,20,25,22,20,3009,2176,2240,35,2004,2183,753,3176,19,19,21,30,19,19,22,26,3832,5649,15363,-7497,-19957,6561,110.4999185932921,126.25881227613156,24568
21,656,227,31,1360,1169,1933,264,252,771,25,259,20,33,22,20,3229,1977,1611,55,1915,2201,841,2949,19,20,26,30,20,20,22,30,7722,4712,22742,-10080,-22818,8244,113.46661067731978,126.85130288723444,22028
28,820,29,427,1181,1134,1445,275,146,843,28,99,21,30,24,22,3261,1340,874,1787,1740,1730,598,2430,20,21,28,23,22,22,25,39,6200,6466,20596,-9624,-22537,9138,109.82329855694228,117.34370124804992,20512
26,687,30,31,1100,1206,809,237,129,742,30,123,24,65,28,25,2946,668,449,33,1131,572,181,1596,21,25,30,31,25,26,29,68,2858,8424,22741,-8739,-21079,9048,104.1689400289568,123.57376362112322,13123
22,100,31,31,529,688,164,212,173,818,31,32,28,41,31,28,2097,188,95,31,426,156,31,514,24,27,32,31,29,30,32,69,2858,8424,22741,-8739,-21079,9048,95.950745827795,126.89336877861469,6771
27,69,32,334,145,33,31,233,238,665,32,31,31,57,31,29,973,194,31,31,30,31,31,327,27,29,31,31,157,32,32,30,-10699,12849,23564,-7275,-17073,9041,86.33048327137547,140.22428748451054,4035
27,70,31,32,68,31,31,250,264,617,31,31,30,53,31,29,856,225,32,31,32,31,32,343,27,28,31,31,123,31,31,29,-17442,16293,15510,-5213,-13588,2239,87.49222944334558,148.9020909861543,3539
28,62,31,46,92,32,31,244,234,599,31,32,31,40,31,29,848,236,31,31,31,31,32,349,27,28,31,31,90,31,32,43,-12742,8292,11187,-454,2002,-6657,88.5412017167382,146.33719599427755,3495
28,47,31,48,91,31,31,231,257,640,31,31,31,49,32,29,585,257,31,31,31,31,31,325,29,27,31,31,121,31,32,39,-9267,7114,9136,577,7872,-10331,83.56982732505301,158.01635867918813,3301
29,28,32,39,96,32,31,282,263,641,31,31,31,37,31,29,384,200,31,31,30,31,30,277,29,29,31,31,125,31,31,38,-10263,5501,8824,2722,11594,-10213,77.07561217736598,167.21111846459297,3022
29,28,32,33,116,44,31,254,270,547,32,31,30,42,31,29,251,220,31,30,30,31,31,277,30,28,32,32,113,31,32,31,-10263,5501,8824,2722,11594,-10213,76.75792096831613,172.7557849768601,2809
30,29,31,32,114,67,31,230,283,593,31,32,30,49,32,30,235,171,32,32,30,31,32,291,29,28,31,32,87,31,32,29,-6979,2880,9271,3512,16681,-8576,74.46388988201645,173.47765462996068,2797
30,29,32,33,154,110,32,285,292,610,31,33,32,51,32,29,258,141,31,31,30,32,32,263,30,29,31,31,111,31,31,30,-4147,3407,9227,3033,20224,-6603,72.02823807913425,174.1224213730132,2957
29,29,31,32,172,120,31,256,287,584,32,35,30,38,32,30,256,180,32,32,30,32,31,233,30,29,32,31,110,31,31,30,-443,3670,8609,3824,21424,-5490,73.11960246744346,172.90661411925976,2918
30,29,32,32,137,160,32,279,296,600,32,63,30,47,31,29,269,101,31,31,31,31,31,249,30,29,31,31,112,31,31,30,4682,3528,9895,4619,18639,-5319,70.52011494252874,175.80662609871536,2958
30,29,30,31,201,243,32,300,282,573,32,33,30,46,31,29,228,116,31,31,32,30,31,303,30,29,32,32,134,30,31,29,4682,3528,9895,4619,18639,-5319,71.97533053853596,175.71557562076748,3101
30,30,31,33,212,391,32,288,288,549,32,46,30,62,31,29,317,142,31,31,31,30,32,254,30,29,31,31,109,30,31,29,2624,4732,13607,4100,16651,-5806,72.63779527559055,171.59948516050878,3302
29,29,32,32,202,451,31,300,350,592,32,31,31,36,32,29,306,140,31,32,31,30,31,225,29,29,32,31,103,30,31,35,4403,6177,15842,4436,16467,-6038,69.98153618906943,170.76824224519942,3385
29,30,31,31,168,465,31,325,351,570,31,31,30,57,31,29,397,183,31,31,31,30,31,226,29,29,32,31,106,30,31,58,6054,4178,17538,4776,17071,-4377,72.43739424703892,169.73434856175973,3546
29,29,31,31,197,463,31,321,345,545,31,56,30,49,31,30,415,159,32,31,30,30,31,251,29,29,31,32,115,30,31,44,7087,3786,18585,4574,18227,-1185,73.19347156066125,168.6382740263379,3569
30,28,31,32,197,423,31,345,313,576,31,38,30,46,31,30,444,150,31,32,30,30,32,251,29,29,31,31,116,31,31,58,9235,1988,17516,5622,18747,1978,73.5826793721973,167.61505044843048,3568
29,30,31,33,198,355,32,315,275,551,31,32,30,48,32,29,494,161,31,31,30,31,31,252,29,29,32,32,112,31,32,50,9235,1988,17516,5622,18747,1978,76.42729112460249,164.97932928592078,3459
29,29,31,32,208,253,32,338,278,478,32,67,31,50,31,29,465,186,31,32,30,31,31,247,29,29,31,31,110,31,31,41,10436,623,17095,6538,17295,4262,77.28224355128974,164.94256148770245,3334
29,30,31,32,179,198,31,329,267,531,31,37,30,47,32,29,458,189,32,32,30,31,31,242,30,29,31,32,102,30,32,56,12722,-1137,16157,6970,15787,4177,77.14046153846154,165.28661538461537,3250
29,30,31,32,178,183,31,327,266,546,31,96,30,40,31,29,438,158,32,31,31,31,31,234,30,29,31,31,103,30,32,76,16145,-1511,13030,6158,12542,1123,74.94920196439533,169.43707796193985,3258
29,29,31,32,176,163,31,333,289,554,31,102,30,46,32,29,346,195,31,31,31,31,32,255,30,29,31,31,108,31,31,82,18725,-2888,10437,5353,8344,-3626,73.8848865726548,173.32250153280197,3262
30,29,32,32,164,251,32,288,302,554,31,92,30,41,32,29,233,139,32,31,30,30,31,197,29,29,31,32,103,30,31,93,18725,-2888,10437,5353,8344,-3626,68.7114006514658,181.7530944625408,3070
30,29,32,32,167,414,32,208,331,554,32,47,30,37,31,30,234,218,31,32,30,30,32,201,30,29,31,31,93,30,31,85,23682,-6112,7914,4144,4960,-7586,71.30898876404494,177.97456304619226,3204
30,29,32,32,163,483,76,215,389,579,31,35,30,48,31,30,122,141,31,32,31,30,31,209,29,29,31,32,97,29,32,92,24894,-8252,5178,1886,-66,-8200,66.14948932219127,186.22825750541628,3231
30,30,31,31,173,347,31,226,351,525,31,32,30,65,32,29,68,104,32,31,30,29,31,267,30,29,31,31,149,801,31,29,24708,-7977,17755,112,-10303,-5183,71.06308851224105,237.6283292978208,3717
30,29,30,32,166,78,32,242,299,611,31,32,29,309,32,30,40,63,31,32,28,23,31,164,30,28,96,236,760,2112,53,32,16573,-7065,4231,-7170,-9584,-1700,73.82602668514988,319.30947842661584,5771
30,28,30,23,90,35,32,288,305,703,31,22,26,1093,64,28,66,82,30,22,25,20,31,109,27,29,400,2761,1770,2005,280,1138,-356,-2479,13446,-9735,-9143,1061,73.62836617052396,378.4473027617655,11623
28,26,28,20,84,23,27,100,272,464,27,21,65,1389,28,22,28,54,26,20,23,19,26,52,1045,1893,1773,3355,2352,2039,1494,2948,-356,-2479,13446,-9735,-9143,1061,81.37332456628396,417.1619543776238,19771
25,21,22,21,68,63,25,56,216,207,23,32,269,1670,97,47,26,35,22,19,20,18,27,50,1637,2733,2861,3389,2782,1926,1539,3132,-1957,-1205,12985,-3341,-12068,1266,85.11192477684375,422.5717133200451,23078
25,21,20,27,64,132,26,60,358,204,22,81,844,1751,168,386,25,33,20,19,19,18,38,43,1447,2907,3199,3378,2569,1821,1374,2772,2293,3298,18007,-1683,-12368,2628,83.95611830254283,415.5599472162875,23871
26,21,20,25,74,193,27,33,569,232,22,257,1066,1754,120,1299,26,28,20,19,19,18,30,37,931,2890,3285,3210,2462,1772,1011,2095,1030,3294,9935,-3238,-7341,1397,81.77550760883388,403.7215887414692,23591
26,21,20,19,94,260,25,32,1166,341,23,605,1155,1737,1471,1723,26,24,20,19,19,18,24,36,353,2763,3315,2885,2399,1738,357,1772,1226,2012,9456,-2835,-3791,245,76.39604263660867,379.9391897410765,24486
24,20,20,19,186,332,22,31,1951,590,23,957,1146,1690,2513,1917,59,28,20,19,20,18,22,35,99,2573,3335,2591,2332,1717,97,1626,1226,2012,9456,-2835,-3791,245,71.65390673017824,359.82926782421634,26032
22,20,20,28,253,423,81,43,2522,916,23,1167,1156,1597,2727,1944,136,27,19,19,31,18,21,51,41,2331,3338,2441,2281,1684,50,1573,878,1864,9039,-2406,-1965,38,69.14816872199386,347.0457726919231,27003
22,37,20,40,294,604,238,51,2594,1109,23,1230,1136,1551,2716,2002,263,26,20,19,75,18,21,48,43,2174,3349,2373,2215,1593,30,1525,423,1767,8555,-1715,-526,30,68.7055428092793,338.90032411959646,27459
21,37,20,46,345,700,621,49,2493,1256,22,1267,1119,1516,2495,2041,495,33,20,19,136,18,20,47,39,2099,3351,2337,2108,1553,27,1475,151,1791,8203,-734,102,28,69.65496855345911,331.49480682839175,27825
21,38,20,49,430,771,788,47,2421,1367,23,1324,1067,1481,2403,2077,656,28,33,19,222,20,20,62,26,1989,3327,2277,2023,1515,22,1401,234,1765,8196,-424,-42,33,70.05771087352952,325.0460006436157,27967
21,55,20,48,517,838,922,50,2406,1473,23,1382,1024,1442,2298,2108,735,33,47,19,293,50,33,106,23,1862,3309,2208,1928,1462,22,1306,263,1700,8245,-222,-322,20,70.30942878523322,318.72691800591525,28063
21,101,21,55,587,895,997,56,2441,1629,23,1455,978,1404,2247,2138,737,32,71,29,383,95,70,178,23,1659,3263,2099,1841,1403,22,1204,263,1700,8245,-222,-322,20,70.06442447703945,311.41442625279683,28157
21,135,22,66,644,947,1054,70,2479,1772,23,1540,942,1366,2205,2188,732,39,81,62,449,133,97,275,22,1461,3200,1966,1765,1349,22,1034,291,1717,8183,8,-544,23,69.79627854124499,303.86966016831786,28161
21,190,31,61,710,1011,1081,73,2530,1962,23,1657,901,1317,2202,2242,709,33,118,94,498,174,110,354,22,1167,3076,1807,1690,1291,22,860,286,1746,8163,128,-647,60,68.88424225131077,295.29664372079753,28037
21,240,66,63,774,1084,1097,116,2593,2225,22,1798,867,1266,2206,2311,702,42,136,106,550,208,109,429,22,856,2986,1636,1603,1240,21,642,327,1899,8005,173,-686,85,67.7318900024967,285.6367657024646,28037
21,284,91,71,843,1154,1128,162,2656,2429,22,1916,831,1203,2217,2337,671,43,178,140,597,246,106,511,21,611,2858,1471,1519,1194,21,472,330,1861,8014,72,-617,137,66.80224093634028,276.62275192691976,28024
21,322,124,85,919,1229,1136,186,2641,2546,22,2022,788,1142,2208,2344,727,44,219,168,655,295,103,635,21,502,2731,1325,1443,1142,27,330,330,1861,8014,72,-617,137,66.85390719521742,268.4773147818661,28102
21,318,153,93,985,1305,1173,218,2613,2672,22,2110,737,1059,2155,2258,790,48,292,198,718,352,149,798,21,349,2580,1194,1379,1081,22,241,395,1848,8031,-69,-560,180,67.32393965271848,259.6482884998577,28104
21,359,196,119,1041,1382,1219,282,2606,2760,22,2177,688,957,2137,2179,829,51,355,240,785,421,145,918,21,260,2431,1048,1302,1048,22,163,404,1708,8073,-123,-532,194,67.60798680102185,251.1872338915697,28184
21,390,256,126,1115,1496,1249,335,2610,2822,22,2273,637,772,2076,2034,863,52,515,273,857,501,187,1096,20,164,2160,905,1203,1025,26,87,385,1770,8107,-125,-565,223,68.25051476853167,240.67544731610337,28168
21,411,404,128,1195,1599,1284,406,2592,2892,22,2430,567,665,2022,1894,910,55,681,308,947,580,235,1242,20,107,1815,675,1112,941,22,54,431,1794,8082,-126,-581,269,68.64865774188979,229.1212459271852,28236
21,450,616,162,1278,1698,1341,512,2564,2915,22,2548,481,594,1973,1716,961,56,906,360,1028,666,256,1370,20,66,1325,483,1020,850,23,28,413,1827,8114,-98,-692,354,68.99463068282172,216.271804019923,28309
21,472,953,176,1386,1780,1391,586,2557,2966,22,2720,382,467,1906,1536,1004,69,1085,385,1130,770,279,1508,20,40,841,204,904,753,22,21,413,1827,8114,-98,-692,354,69.32807871349979,202.2781774580336,28356
21,474,1225,211,1476,1862,1447,673,2532,2961,22,2827,278,348,1822,1296,1054,116,1401,428,1256,898,317,1680,19,22,429,65,789,689,24,19,235,1928,8214,20,-831,613,70.72565461455319,189.66170984275303,28681
21,487,1476,239,1590,1947,1543,796,2506,2913,22,2840,185,209,1696,985,1102,206,1571,445,1375,1036,365,1898,19,19,144,19,632,582,19,19,520,2213,7976,111,-997,1150,72.6389330934754,178.16759496298346,28906
21,471,1621,365,1691,2027,1717,907,2465,2789,22,2477,95,108,1447,651,1163,394,1660,647,1504,1200,398,2112,19,19,42,20,466,436,19,19,550,1995,8332,195,-1432,1836,76.03633761037527,166.45255587748343,28992
21,459,1789,388,1803,2084,1891,1035,2409,2613,21,2717,44,44,1215,298,1237,617,1641,530,1621,1313,420,2322,19,19,20,19,315,319,19,19,859,1933,8848,70,-2420,2075,78.28511662853045,159.4981728766094,29281
21,463,1859,238,1810,2111,2111,1122,2320,2467,21,2618,24,28,910,140,1345,800,1639,541,1695,1407,469,2420,19,19,19,19,277,210,20,19,859,1933,8848,70,-2420,2075,80.7944724306912,154.91972516363387,29181
33,458,1896,20,1815,2151,2439,1183,2214,2330,21,2323,23,22,523,39,1446,943,1631,911,1711,1460,452,2455,19,18,19,19,224,132,20,19,699,1426,9811,543,-4308,1725,83.5144464772688,149.40136007456246,28969
39,475,1955,358,1836,2190,2771,1214,2088,2245,21,2107,20,21,186,24,1574,1043,1641,1170,1759,1478,355,2472,18,18,19,19,167,64,20,19,1382,1500,9567,1036,-5760,1296,85.2698223643912,142.92557680528142,29386
47,498,1965,21,1857,2228,2854,1232,1970,2131,21,1767,20,24,145,21,1709,1152,1626,1463,1796,1485,307,2457,19,19,19,19,97,25,20,19,1413,1723,9194,1140,-6670,846,87.08882995212345,140.0106602831261,29033
51,547,1982,658,1892,2268,2866,1235,1823,2013,21,1550,20,23,132,21,1851,1219,1640,1605,1844,1457,263,2468,18,18,19,19,25,18,20,18,1571,2098,8638,894,-7576,727,87.98138765031753,134.71765639778408,29604
47,564,1992,22,1895,2284,2886,1231,1667,1923,21,1232,20,23,106,21,1998,1300,1649,2113,1850,1429,236,2485,19,18,19,20,21,19,20,19,1994,2287,8093,61,-7993,875,90.11727675048888,133.1244296545336,29149
55,578,1967,691,1885,2285,2827,1207,1469,1861,20,22,20,22,108,21,2165,1356,1652,1969,1874,1413,240,2506,19,18,19,19,20,19,20,20,1994,2287,8093,61,-7993,875,92.971939225156,125.53458243733915,28367
