20,481,1033,322,1495,1855,1673,741,2285,2837,24,2664,248,302,1487,946,1267,168,1583,465,1263,823,285,1820,19,20,25,20,756,769,20,20,730,1842,8040,72,-211,-38,72.89100807614652,180.37876766657047,27736,00:00.750000
21,480,1032,327,1495,1857,1673,741,2288,2832,23,2671,249,301,1488,950,1270,168,1581,468,1265,823,291,1821,19,20,25,20,758,768,20,20,722,1843,8037,65,-194,-36,72.90669908157753,180.3788222582388,27765,00:00.765625
20,482,1031,320,1493,1853,1673,746,2285,2837,24,2671,249,301,1489,951,1268,172,1582,467,1260,824,286,1818,19,19,26,20,755,767,20,20,703,1826,8026,45,-137,-33,72.87424318869829,180.38523497188987,27748,00:00.781250
20,484,1034,325,1495,1855,1674,742,2284,2834,24,2662,249,302,1486,952,1271,169,1585,467,1261,826,285,1823,19,19,25,20,756,768,20,20,706,1819,8030,61,-174,-28,72.91974708171206,180.31522913964548,27756,00:00.796875
20,480,1029,323,1495,1851,1670,742,2284,2836,24,2662,247,301,1481,945,1270,170,1586,471,1265,826,290,1825,19,19,25,20,757,770,20,20,706,1819,8030,61,-174,-28,72.96262120174458,180.2840536351512,27743,00:00.812500
20,484,1037,327,1495,1853,1675,745,2283,2836,23,2664,245,297,1480,944,1273,169,1587,471,1266,829,291,1825,19,19,25,19,753,768,20,20,716,1801,8049,84,-256,-41,72.9801527267488,180.0894388012391,27762,00:00.828125
20,483,1040,324,1494,1857,1677,746,2287,2831,23,2664,245,295,1485,943,1272,167,1584,471,1265,830,291,1825,19,20,25,19,756,766,20,20,720,1858,8040,80,-214,-37,72.97095159198963,180.1358593862556,27764,00:00.843750
20,486,1045,326,1500,1860,1681,751,2290,2842,24,2665,244,291,1490,945,1274,168,1587,471,1270,831,286,1820,19,19,25,20,752,766,20,20,703,1816,8078,77,-207,-31,72.92602848101266,180.00400963751437,27808,00:00.859375
20,487,1049,319,1498,1864,1681,752,2286,2835,24,2675,244,288,1490,942,1272,169,1588,469,1269,831,281,1823,19,19,25,19,749,765,20,20,694,1815,8091,73,-210,-24,72.92792890040299,179.97105282095566,27792,00:00.875000
20,489,1051,325,1500,1864,1684,752,2290,2830,24,2671,245,289,1489,941,1274,170,1579,468,1273,831,274,1826,19,19,24,20,748,762,20,20,694,1815,8091,73,-210,-24,72.92364434529163,179.89503796193011,27791,00:00.890625
20,491,1054,325,1500,1865,1684,753,2290,2824,23,2670,245,289,1497,943,1272,175,1581,467,1272,833,266,1819,19,19,25,19,747,763,20,20,721,1771,8062,75,-187,-23,72.90012594458439,179.9121626484347,27790,00:00.906250
21,491,1055,333,1501,1863,1687,756,2296,2834,24,2674,246,292,1504,953,1267,174,1586,467,1272,830,262,1813,19,19,25,20,748,763,20,20,729,1805,8058,82,-161,-29,72.80393389617389,180.00357463624934,27835,00:00.921875
20,496,1057,333,1498,1861,1671,760,2304,2826,24,2670,249,297,1516,964,1266,174,1584,465,1265,826,267,1801,19,19,25,20,754,765,20,20,738,1818,8062,109,-200,-48,72.70444747808594,180.2634358384825,27836,00:00.937500
20,499,1061,335,1492,1862,1666,756,2301,2827,24,2676,257,307,1536,984,1262,171,1581,462,1260,816,253,1789,19,19,28,20,763,769,20,20,717,1805,8024,97,-102,-51,72.52825345539401,180.7605636331,27855,00:00.953125
21,501,1070,340,1479,1858,1644,750,2319,2831,24,2673,267,319,1576,1020,1250,167,1562,460,1242,805,250,1753,19,20,38,20,790,776,20,20,714,1792,8010,144,-30,-72,72.18263161669775,181.79846865586,27884,00:00.968750
20,507,1070,338,1468,1848,1615,764,2335,2852,23,2700,281,349,1627,1077,1235,153,1540,440,1223,783,238,1693,19,20,55,20,817,785,20,20,714,1792,8010,144,-30,-72,71.51428315732952,183.4508322892429,27935,00:00.984375
21,513,1066,347,1447,1829,1573,773,2365,2875,24,2713,303,389,1682,1148,1212,115,1515,430,1197,762,244,1628,19,19,97,20,850,797,20,20,713,1796,8060,207,31,-118,70.78686681183736,185.6525720201335,28013,00:01.000000
21,522,1065,346,1422,1789,1518,754,2391,2885,23,2724,335,450,1755,1266,1192,111,1461,416,1164,728,247,1546,19,20,150,35,889,818,20,20,669,1818,8078,236,143,-148,70.02391288876237,188.875685004626,28102,00:01.015625
21,540,1033,342,1386,1751,1461,739,2418,2885,24,2736,380,530,1841,1383,1157,99,1384,404,1130,682,243,1454,19,20,284,63,924,828,20,20,646,1820,8068,263,182,-157,69.18291904542392,193.2702741037552,28201,00:01.031250
21,542,916,326,1353,1701,1411,722,2458,2890,24,2726,418,616,1905,1502,1119,92,1296,389,1094,637,237,1347,19,19,465,114,962,854,20,21,591,1850,8118,253,209,-150,68.398745392685,198.8039233059257,28216,00:01.046875
21,546,832,403,1323,1684,1376,712,2502,2900,24,2591,453,654,1963,1618,1078,87,1201,750,1056,594,228,1235,19,20,641,481,997,881,20,23,591,1850,8118,253,209,-150,68.39601563310622,203.96920070556496,28913,00:01.062500
20,547,726,805,1299,1667,1337,706,2540,2906,24,2692,494,694,2011,1731,1032,79,1092,378,1020,545,218,1136,20,20,817,240,1027,907,20,22,596,1889,8112,260,114,-137,66.9183407479494,205.8292089531489,28772,00:01.078125
