29,29,32,30,261,534,32,307,533,691,32,208,31,33,33,30,64,29,32,30,31,29,32,134,27,29,32,30,121,139,32,30,2444,2001,7956,-1896,1193,12875,55.933578832515,194.64525368248772,3666
30,30,31,31,261,509,31,322,523,714,32,234,30,43,48,30,91,29,32,31,30,29,31,127,29,29,32,31,107,121,31,30,1142,3203,8190,-921,382,10833,55.66257751415476,192.6145861418172,3709
29,30,31,30,264,516,31,351,518,691,32,186,30,45,58,30,68,30,31,31,30,29,31,136,30,29,32,30,103,116,31,30,73,2394,8462,111,-249,8672,55.62681060399016,192.2436458048647,3659
29,30,32,30,249,523,31,370,515,640,32,207,30,77,57,30,89,29,31,31,30,29,31,136,29,29,31,31,96,100,32,29,-1568,2436,8569,199,-908,7533,56.033287858117326,192.3649386084584,3665
30,29,32,30,277,492,32,340,476,593,31,203,30,97,89,30,69,29,31,31,30,30,31,134,29,29,32,30,96,126,31,30,-3559,2294,8956,381,-1129,7164,56.766462906362875,197.54126146151708,3599
30,30,31,31,282,464,31,343,432,622,32,179,30,112,50,30,74,29,31,31,30,29,32,145,29,29,32,31,97,126,32,30,-3559,2294,8956,381,-1129,7164,57.5704185520362,196.72256787330318,3536
30,30,32,31,274,453,31,313,465,673,31,157,30,105,48,30,107,30,31,31,30,30,31,128,29,30,31,30,112,112,31,29,-4845,1980,8841,174,-750,6600,57.360337552742614,194.8382559774965,3555
30,29,31,31,268,434,32,306,430,600,31,113,30,98,33,30,118,29,31,31,30,29,31,101,30,29,31,34,86,102,32,30,-5484,2521,8683,-33,-396,5780,58.073484848484846,193.23924242424243,3300
30,29,31,32,270,455,32,326,404,647,32,99,30,76,35,30,130,36,32,31,30,30,31,82,29,29,31,31,109,93,32,30,-5891,2602,8590,18,12,5040,57.9375,190.34703947368422,3344
30,29,32,31,273,425,31,328,372,662,32,125,30,82,35,30,144,39,32,31,29,29,30,127,29,30,31,31,128,80,31,30,-6222,2855,8486,83,546,4330,59.586815773984696,189.56856974690996,3398
30,29,31,32,262,384,32,350,382,658,31,114,30,93,32,30,121,49,31,32,30,30,32,102,30,29,32,31,116,38,32,29,-5885,3122,8055,360,1004,3532,58.043848964677224,187.5983556638246,3284
30,29,31,31,256,340,31,360,359,640,32,76,30,94,32,29,109,51,31,31,30,30,31,119,30,29,31,31,130,31,31,33,-5885,3122,8055,360,1004,3532,58.90103838892385,188.0059786028949,3178
30,29,32,31,240,274,31,335,313,613,32,35,30,80,32,30,138,57,31,31,30,30,31,100,31,29,31,32,81,30,31,32,-4831,3087,8144,1006,979,2794,60.28605769230769,183.2750686813187,2912
31,30,32,31,223,242,32,319,298,634,31,63,30,72,32,30,121,45,32,32,31,30,32,83,30,30,31,31,114,31,31,30,-3313,2722,8247,1698,621,2170,59.14804469273743,187.25576117318437,2864
