Fase,Desviación Típica por Zancada (dominancia vs CSV),Desviación Típica por Zancada (dominancia vs Video),Desviación Típica Total (dominancia vs CSV),Desviación Típica Total (dominancia vs Video)
LR,0.021183693165708596,0.021932704208302473,0.021183693165708596,0.021932704208302473
MSt,0.08609999606804095,0.08760069000235608,0.08609999606804095,0.08760069000235608
TSt,0.19584173922562234,0.19722149026468241,0.19584173922562234,0.19722149026468241
PSw,0.0016393259200727084,0.002557964142742342,0.0016393259200727084,0.002557964142742342
Sw,0.27623264984771234,0.2791472733562379,0.27623264984771234,0.2791472733562379
