Método,Fase,Duración media (ms)
CSV,LR,110.97
CSV,MSt,222.66
CSV,TSt,222.66
CSV,PSw,110.97
CSV,Sw,445.24
CSV,Zancadas válidas,38

Video,LR,111.37
Video,MSt,223.29
Video,TSt,223.29
Video,PSw,111.37
Video,Sw,446.08
Video,Zancadas válidas,38

