Zancada,Método,Fase,Inicio_fase,Fin_fase,Duración_fase,Inicio_zancada_CSV,Duración_zancada_CSV,Inicio_zancada_video,Duración_zancada_video
7,CSV,Heel strike - Loading response,00:09.230,00:09.345,00:00.115,00:09.230,00:01.154,00:09.234,00:01.199
7,CSV,Mid-stance,00:09.345,00:09.576,00:00.230,00:09.230,00:01.154,00:09.234,00:01.199
7,CSV,Terminal stance,00:09.576,00:09.807,00:00.230,00:09.230,00:01.154,00:09.234,00:01.199
7,CSV,Pre-swing,00:09.807,00:09.922,00:00.115,00:09.230,00:01.154,00:09.234,00:01.199
7,CSV,Toe-off,00:09.922,00:10.072,00:00.150,00:09.230,00:01.154,00:09.234,00:01.199
7,CSV,Mid-swing,00:10.072,00:10.233,00:00.161,00:09.230,00:01.154,00:09.234,00:01.199
7,CSV,Terminal swing,00:10.233,00:10.384,00:00.150,00:09.230,00:01.154,00:09.234,00:01.199
7,Video,Heel strike - Loading response,00:09.234,00:09.353,00:00.119,00:09.230,00:01.154,00:09.234,00:01.199
7,Video,Mid-stance,00:09.353,00:09.593,00:00.239,00:09.230,00:01.154,00:09.234,00:01.199
7,Video,Terminal stance,00:09.593,00:09.833,00:00.239,00:09.230,00:01.154,00:09.234,00:01.199
7,Video,Pre-swing,00:09.833,00:09.953,00:00.119,00:09.230,00:01.154,00:09.234,00:01.199
7,Video,Toe-off,00:09.953,00:10.109,00:00.155,00:09.230,00:01.154,00:09.234,00:01.199
7,Video,Mid-swing,00:10.109,00:10.277,00:00.167,00:09.230,00:01.154,00:09.234,00:01.199
7,Video,Terminal swing,00:10.277,00:10.432,00:00.155,00:09.230,00:01.154,00:09.234,00:01.199
8,CSV,Heel strike - Loading response,00:10.384,00:10.507,00:00.123,00:10.384,00:01.231,00:10.433,00:01.233
8,CSV,Mid-stance,00:10.507,00:10.753,00:00.246,00:10.384,00:01.231,00:10.433,00:01.233
8,CSV,Terminal stance,00:10.753,00:10.999,00:00.246,00:10.384,00:01.231,00:10.433,00:01.233
8,CSV,Pre-swing,00:10.999,00:11.122,00:00.123,00:10.384,00:01.231,00:10.433,00:01.233
8,CSV,Toe-off,00:11.122,00:11.282,00:00.160,00:10.384,00:01.231,00:10.433,00:01.233
8,CSV,Mid-swing,00:11.282,00:11.454,00:00.172,00:10.384,00:01.231,00:10.433,00:01.233
8,CSV,Terminal swing,00:11.454,00:11.615,00:00.160,00:10.384,00:01.231,00:10.433,00:01.233
