Zancada,Inicio_zancada_CSV,Fin_zancada_CSV,Duración_zancada_CSV,observacion,tiempo_incio_envideo,tiempo_fin_envideo,Duración_zancada_video,Diferencia_duración,Diferencia_porcentaje,Z_score_diferencia
34,00:44.384,00:45.615,00:01.231,ninguna,00:45.017,00:46.250,00:01.233,00:00.002,0.16%,-0.6196972598741914
35,00:45.615,00:46.923,00:01.308,gira,00:46.250,00:47.549,00:01.299,-00:00.009,-0.69%,
36,00:46.923,00:48.538,00:01.615,gira,00:47.549,00:49.182,00:01.633,00:00.018,1.11%,
37,00:48.538,00:49.984,00:01.446,ninguna,00:49.182,00:50.681,00:01.499,00:00.053,3.67%,0.6338490001838184
38,00:49.984,00:51.215,00:01.231,ninguna,00:50.681,00:51.947,00:01.266,00:00.035,2.84%,0.19142090839863854
39,00:51.215,00:52.492,00:01.277,ninguna,00:51.947,00:53.247,00:01.300,00:00.023,1.80%,-0.1035311527914815
40,00:52.492,00:54.153,00:01.861,gira,00:53.247,00:54.646,00:01.399,-00:00.461,-24.83%,
41,00:54.153,00:55.415,00:01.262,gira,00:54.646,00:56.212,00:01.565,00:00.304,24.09%,
42,00:55.415,00:56.723,00:01.308,ninguna,00:56.212,00:57.545,00:01.333,00:00.025,1.91%,-0.05437247592646147
43,00:56.723,00:58.015,00:01.292,ninguna,00:57.545,00:58.844,00:01.299,00:00.007,0.54%,-0.49680056771164144
44,00:58.015,00:59.369,00:01.354,ninguna,00:58.844,01:00.210,00:01.366,00:00.012,0.89%,-0.37390387554909144
45,00:59.369,01:01.076,00:01.706,gira,01:00.210,01:01.909,00:01.698,-00:00.008,-0.47%,
46,01:01.076,01:02.446,00:01.370,gira,01:01.909,01:03.375,00:01.466,00:00.096,7.01%,
47,01:02.446,01:03.646,00:01.200,ninguna,01:03.375,01:04.575,00:01.200,00:00.000,0.00%,-0.6688559367392114
48,01:03.646,01:04.876,00:01.230,ninguna,01:04.575,01:05.841,00:01.266,00:00.036,2.93%,0.2160002468311484
49,01:04.876,01:06.292,00:01.416,gira,01:05.841,01:07.240,00:01.399,-00:00.017,-1.20%,
50,01:06.292,01:08.015,00:01.722,gira,01:07.240,01:09.006,00:01.766,00:00.043,2.50%,
51,01:08.015,01:09.323,00:01.308,ninguna,01:09.006,01:10.372,00:01.366,00:00.058,4.43%,0.7567456923463685
52,01:09.323,01:10.615,00:01.292,ninguna,01:10.372,01:11.638,00:01.266,-00:00.026,-2.01%,-1.3079187359844713
53,01:10.615,01:11.984,00:01.369,ninguna,01:11.638,01:13.037,00:01.399,00:00.030,2.19%,0.06852421623608845
