Fase,Media de Diferencia por Zancada (dominancia vs CSV),Media de Diferencia por Zancada (dominancia vs Video),Media de Diferencia Total (dominancia vs CSV),Media de Diferencia Total (dominancia vs Video)
LR,-0.01709781818181818,-0.025676227272727267,-0.01709781818181818,-0.025676227272727267
MSt,-0.021927181818181825,-0.03908440909090909,-0.021927181818181825,-0.03908440909090909
TSt,0.20974099999999998,0.1925837727272727,0.20974099999999998,0.1925837727272727
PSw,-0.07201145454545456,-0.08058986363636364,-0.07201145454545456,-0.08058986363636364
Sw,0.2354040909090909,0.20108999999999996,0.2354040909090909,0.20108999999999996
