Fase,Desviación Típica por Zancada (dominancia vs CSV),Desviación Típica por Zancada (dominancia vs Video),Desviación Típica Total (dominancia vs CSV),Desviación Típica Total (dominancia vs Video)
LR,0.023202237156314285,0.025109963152885276,0.023202237156314285,0.025109963152885276
MSt,0.0945142669719216,0.09299298636684143,0.0945142669719216,0.09299298636684143
TSt,0.0663305098523502,0.06323608156232831,0.0663305098523502,0.06323608156232831
PSw,0.01767966656598188,0.0195839188001869,0.01767966656598188,0.0195839188001869
Sw,0.07475050648713122,0.0659983528031365,0.07475050648713122,0.0659983528031365
